source_id,path,kelas,label,subjenis,source_set,sha256,file_size_bytes,readable,width,height,extension,reason,exclusion_source,approval_status,decision_date,approval_record,external_source_id,external_path,external_sha256,evidence_file
e09b0a2c9ee4,dataset_batik/batik/Solo_Parang/005.jpg,batik,1,Solo_Parang,development,16c92df22481cca581878be122c0714de2a29c6a496def77503b4c6de9d912b5,18296,True,224,224,.jpg,duplicate_within_development,,,,,,,,
7b79e27b18d5,dataset_batik/non_batik/polkadot/polkadot1.jpg,non_batik,0,polkadot,development,3b2064dde9fe2ec694a486a7e952d8707044639a6d9c14ddaec707ef2a9db372,7892,True,197,256,.jpg,overlap_with_external,,,,,,,,
dbba48aeadb1,dataset_batik/non_batik/polkadot/polkadot2.jpg,non_batik,0,polkadot,development,110417799ce1c45cadcf039f9cb5a2334356fdaf34fa5cf85ed4d137f3764731,13058,True,259,194,.jpg,overlap_with_external,,,,,,,,
5d66bc328332,dataset_batik/non_batik/polkadot/polkadot3.jpg,non_batik,0,polkadot,development,374f02410dfc820fa3b543e90c53ce2ca5369a2c6b3283738d57fc1db3291216,131194,True,509,339,.jpg,overlap_with_external,,,,,,,,
ca96998cdbfd,dataset_batik/non_batik/polos/polos1.jpg,non_batik,0,polos,development,90ecb4d42c4ed6f9aeeb046444d28bc726cf1de5879a782dd90d54ac4417c773,7469,True,259,194,.jpg,overlap_with_external,,,,,,,,
a36166a4b3b9,dataset_batik/non_batik/polos/polos2.jpg,non_batik,0,polos,development,38e1d2ff083475f09057b95dd172bdc112e0948a1d4cc2cbd2e867452b01e0e5,10036,True,225,225,.jpg,overlap_with_external,,,,,,,,
bd288971ff27,dataset_batik/non_batik/polos/polos3.webp,non_batik,0,polos,development,6ab74c920d68244c3bdf8e3a46a863f584844568f6e4ef4f929186aa928abebd,8818,True,700,700,.webp,overlap_with_external,,,,,,,,
4a942f3a9ba7,dataset_batik/non_batik/polos/polos4.webp,non_batik,0,polos,development,4aa7cc9f11756b076c3222b359b984a30ed769cfbe0242d70daa084f443f4055,17140,True,600,600,.webp,overlap_with_external,,,,,,,,
8b46900cf444,dataset_batik/non_batik/polos/polos5.jpg,non_batik,0,polos,development,ace838bf7178f61a4fd80bd4fa40f2b319e9f3b6aaa53deb48699e45a73dd087,256165,True,1000,1000,.jpg,overlap_with_external,,,,,,,,
b742ba0efad4,dataset_batik/non_batik/kotak/kotak1.jpg,non_batik,0,kotak,development,c642bfe78cded16d9bf80effcb9f3efa98cbdd652de15bf7e25c58de351b72bc,295070,True,1200,675,.jpg,perceptual_near_duplicate_with_external,audit_config/development_exclusions.csv,approved_exclude,2026-08-15,User explicitly approved both exclusions in the Codex task,c7b422c60277,uji_eksternal/non_batik/kain_kotak (1).jpg,cb664ff2c66c20634f10333ff9e1da5a8352e6219151ae35935edb97c5ae5106,revision_audit/outputs/perceptual_hash_adjudication/near_duplicate_candidates_cross_adjudication.csv
693f3e1e007d,dataset_batik/batik/batik solo/solo3.jpg,batik,1,batik solo,development,73112a5f087b501cf48ead99ea2e9af233a91d78c670bf22e62521fd2877c5d3,117149,True,600,600,.jpg,perceptual_near_duplicate_with_external,audit_config/development_exclusions.csv,approved_exclude,2026-08-15,User explicitly approved both exclusions in the Codex task,f5557f4df50d,uji_eksternal/batik/batik_kawung (2).jpg,712fdb4e946ad017197956ad821f0e7468bb47a886e6a681fa0491981ebdb9a0,revision_audit/outputs/perceptual_hash_adjudication/near_duplicate_candidates_cross_adjudication.csv
