generated_path,source_id,group_id,source_path,kelas,label,subjenis,partition,is_augmented,transform
dataset_aug/cv_pool/batik/0018__01423db2bf4d__orig_0073.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,cv_pool,False,original
dataset_aug/cv_pool/batik/0018__01423db2bf4d__brightness0p91_0098.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,cv_pool,True,brightness0p91
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__orig_0132.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,False,original
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__flip_h_0005.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,True,flip_h
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__zoom02_0142.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,True,zoom02
dataset_aug/cv_pool/batik/0037__050046f947a6__orig_0028.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0037__050046f947a6__rot180_0110.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,cv_pool,True,rot180
dataset_aug/cv_pool/batik/003__05ccbfc92105__orig_0110.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/003__05ccbfc92105__brightness0p97_0008.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,brightness0p97
dataset_aug/cv_pool/batik/003__05ccbfc92105__rot90_0145.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,rot90
dataset_aug/cv_pool/batik/0040__0c9036a66a5e__orig_0118.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0040__0c9036a66a5e__contrast1p10_0108.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,contrast1p10
dataset_aug/cv_pool/batik/0010__0cda161b73d8__orig_0043.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,False,original
dataset_aug/cv_pool/batik/0010__0cda161b73d8__flip_h_0158.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,True,flip_h
dataset_aug/cv_pool/batik/0010__0cda161b73d8__rot270_0021.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,True,rot270
dataset_aug/cv_pool/batik/0013__0f308677eb60__orig_0010.jpg,0f308677eb60,0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0013__0f308677eb60__contrast1p05_0162.jpg,0f308677eb60,0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,cv_pool,True,contrast1p05
dataset_aug/cv_pool/batik/0013__0f308677eb60__zoom07_0025.jpg,0f308677eb60,0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,cv_pool,True,zoom07
dataset_aug/cv_pool/batik/0020__0f8e0b867151__orig_0105.jpg,0f8e0b867151,0f8e0b867151,dataset_batik/batik/Yogyakarta_Parang/0020.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0020__0f8e0b867151__flip_v_0132.jpg,0f8e0b867151,0f8e0b867151,dataset_batik/batik/Yogyakarta_Parang/0020.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,flip_v
dataset_aug/cv_pool/batik/solo5__0fd5923aff43__orig_0137.jpg,0fd5923aff43,0fd5923aff43,dataset_batik/batik/batik solo/solo5.jpg,batik,1,batik solo,cv_pool,False,original
dataset_aug/cv_pool/batik/solo5__0fd5923aff43__rot270_0075.jpg,0fd5923aff43,0fd5923aff43,dataset_batik/batik/batik solo/solo5.jpg,batik,1,batik solo,cv_pool,True,rot270
dataset_aug/cv_pool/batik/0025__15c3a3af00f1__orig_0080.jpg,15c3a3af00f1,15c3a3af00f1,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,batik,1,Yogyakarta_Kawung,cv_pool,False,original
dataset_aug/cv_pool/batik/0025__15c3a3af00f1__flip_v_0150.jpg,15c3a3af00f1,15c3a3af00f1,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,batik,1,Yogyakarta_Kawung,cv_pool,True,flip_v
dataset_aug/cv_pool/batik/0025__15c3a3af00f1__rot-14p7_0013.jpg,15c3a3af00f1,15c3a3af00f1,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,batik,1,Yogyakarta_Kawung,cv_pool,True,rot-14p7
dataset_aug/cv_pool/batik/0028__17204d5eeb3c__orig_0038.jpg,17204d5eeb3c,17204d5eeb3c,dataset_batik/batik/SulawesiSelatan_Lontara/0028.jpg,batik,1,SulawesiSelatan_Lontara,cv_pool,False,original
dataset_aug/cv_pool/batik/0028__17204d5eeb3c__flip_v_0141.jpg,17204d5eeb3c,17204d5eeb3c,dataset_batik/batik/SulawesiSelatan_Lontara/0028.jpg,batik,1,SulawesiSelatan_Lontara,cv_pool,True,flip_v
dataset_aug/cv_pool/batik/0028__17204d5eeb3c__rot+5p9_0004.jpg,17204d5eeb3c,17204d5eeb3c,dataset_batik/batik/SulawesiSelatan_Lontara/0028.jpg,batik,1,SulawesiSelatan_Lontara,cv_pool,True,rot+5p9
dataset_aug/cv_pool/batik/0020__1a750a1ff1bb__orig_0053.jpg,1a750a1ff1bb,1a750a1ff1bb,dataset_batik/batik/SumateraBarat_Rumah_Minang/0020.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,False,original
dataset_aug/cv_pool/batik/0020__1a750a1ff1bb__flip_h_0032.jpg,1a750a1ff1bb,1a750a1ff1bb,dataset_batik/batik/SumateraBarat_Rumah_Minang/0020.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,True,flip_h
dataset_aug/cv_pool/batik/0040__1ae0673d1fc2__orig_0094.jpg,1ae0673d1fc2,1ae0673d1fc2,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,batik,1,Yogyakarta_Kawung,cv_pool,False,original
dataset_aug/cv_pool/batik/0040__1ae0673d1fc2__rot-7p3_0040.jpg,1ae0673d1fc2,1ae0673d1fc2,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,batik,1,Yogyakarta_Kawung,cv_pool,True,rot-7p3
dataset_aug/cv_pool/batik/semarangan3__1e1c6c73c84d__orig_0131.jpg,1e1c6c73c84d,grp_1e1c6c73c84d,dataset_batik/batik/batik semarangan/semarangan3.jpg,batik,1,batik semarangan,cv_pool,False,original
dataset_aug/cv_pool/batik/semarangan3__1e1c6c73c84d__rot270_0093.jpg,1e1c6c73c84d,grp_1e1c6c73c84d,dataset_batik/batik/batik semarangan/semarangan3.jpg,batik,1,batik semarangan,cv_pool,True,rot270
dataset_aug/cv_pool/batik/0017__1ebf8c8980d8__orig_0036.jpg,1ebf8c8980d8,1ebf8c8980d8,dataset_batik/batik/SulawesiSelatan_Lontara/0017.jpg,batik,1,SulawesiSelatan_Lontara,cv_pool,False,original
dataset_aug/cv_pool/batik/0017__1ebf8c8980d8__rot270_0129.jpg,1ebf8c8980d8,1ebf8c8980d8,dataset_batik/batik/SulawesiSelatan_Lontara/0017.jpg,batik,1,SulawesiSelatan_Lontara,cv_pool,True,rot270
dataset_aug/cv_pool/batik/0034__204cc85f05f5__orig_0026.jpg,204cc85f05f5,grp_204cc85f05f5,dataset_batik/batik/Solo_Parang/0034.jpg,batik,1,Solo_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0034__204cc85f05f5__rot180_0083.jpg,204cc85f05f5,grp_204cc85f05f5,dataset_batik/batik/Solo_Parang/0034.jpg,batik,1,Solo_Parang,cv_pool,True,rot180
dataset_aug/cv_pool/batik/0033__20802bdd836c__orig_0061.jpg,20802bdd836c,20802bdd836c,dataset_batik/batik/SumateraBarat_Rumah_Minang/0033.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,False,original
dataset_aug/cv_pool/batik/0033__20802bdd836c__rot90_0118.jpg,20802bdd836c,20802bdd836c,dataset_batik/batik/SumateraBarat_Rumah_Minang/0033.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,True,rot90
dataset_aug/cv_pool/batik/0016__224b3baae42f__orig_0100.jpg,224b3baae42f,224b3baae42f,dataset_batik/batik/Yogyakarta_Parang/0016.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original
dataset_aug/cv_pool/batik/0016__224b3baae42f__rot270_0057.jpg,224b3baae42f,224b3baae42f,dataset_batik/batik/Yogyakarta_Parang/0016.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,rot270
