generated_path,source_id,group_id,source_path,kelas,label,subjenis,partition,is_augmented,transform
dataset_aug/final_train/batik/0018__01423db2bf4d__orig_0073.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,final_train,False,original
dataset_aug/final_train/batik/0018__01423db2bf4d__rot+2p5_0058.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,final_train,True,rot+2p5
dataset_aug/final_train/batik/semarangan4__028b7571da11__orig_0132.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,final_train,False,original
dataset_aug/final_train/batik/0037__050046f947a6__orig_0028.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,final_train,False,original
dataset_aug/final_train/batik/0037__050046f947a6__rot270_0048.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,final_train,True,rot270
dataset_aug/final_train/batik/003__05ccbfc92105__orig_0110.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,final_train,False,original
dataset_aug/final_train/batik/003__05ccbfc92105__rot-12p1_0031.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,final_train,True,rot-12p1
dataset_aug/final_train/batik/0040__0c9036a66a5e__orig_0118.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,final_train,False,original
dataset_aug/final_train/batik/0040__0c9036a66a5e__flip_v_0060.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,final_train,True,flip_v
dataset_aug/final_train/batik/0010__0cda161b73d8__orig_0043.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,False,original
dataset_aug/final_train/batik/0013__0f308677eb60__orig_0010.jpg,0f308677eb60,0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,final_train,False,original
dataset_aug/final_train/batik/0020__0f8e0b867151__orig_0105.jpg,0f8e0b867151,0f8e0b867151,dataset_batik/batik/Yogyakarta_Parang/0020.jpg,batik,1,Yogyakarta_Parang,final_train,False,original
dataset_aug/final_train/batik/0020__0f8e0b867151__flip_h_0050.jpg,0f8e0b867151,0f8e0b867151,dataset_batik/batik/Yogyakarta_Parang/0020.jpg,batik,1,Yogyakarta_Parang,final_train,True,flip_h
dataset_aug/final_train/batik/solo5__0fd5923aff43__orig_0137.jpg,0fd5923aff43,0fd5923aff43,dataset_batik/batik/batik solo/solo5.jpg,batik,1,batik solo,final_train,False,original
dataset_aug/final_train/batik/0025__15c3a3af00f1__orig_0080.jpg,15c3a3af00f1,15c3a3af00f1,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,batik,1,Yogyakarta_Kawung,final_train,False,original
dataset_aug/final_train/batik/0025__15c3a3af00f1__zoom09_0034.jpg,15c3a3af00f1,15c3a3af00f1,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,batik,1,Yogyakarta_Kawung,final_train,True,zoom09
dataset_aug/final_train/batik/0028__17204d5eeb3c__orig_0038.jpg,17204d5eeb3c,17204d5eeb3c,dataset_batik/batik/SulawesiSelatan_Lontara/0028.jpg,batik,1,SulawesiSelatan_Lontara,final_train,False,original
dataset_aug/final_train/batik/0028__17204d5eeb3c__rot+8p4_0022.jpg,17204d5eeb3c,17204d5eeb3c,dataset_batik/batik/SulawesiSelatan_Lontara/0028.jpg,batik,1,SulawesiSelatan_Lontara,final_train,True,rot+8p4
dataset_aug/final_train/batik/0020__1a750a1ff1bb__orig_0053.jpg,1a750a1ff1bb,1a750a1ff1bb,dataset_batik/batik/SumateraBarat_Rumah_Minang/0020.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,False,original
dataset_aug/final_train/batik/0020__1a750a1ff1bb__flip_v_0051.jpg,1a750a1ff1bb,1a750a1ff1bb,dataset_batik/batik/SumateraBarat_Rumah_Minang/0020.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,True,flip_v
dataset_aug/final_train/batik/0040__1ae0673d1fc2__orig_0094.jpg,1ae0673d1fc2,1ae0673d1fc2,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,batik,1,Yogyakarta_Kawung,final_train,False,original
dataset_aug/final_train/batik/semarangan3__1e1c6c73c84d__orig_0131.jpg,1e1c6c73c84d,grp_1e1c6c73c84d,dataset_batik/batik/batik semarangan/semarangan3.jpg,batik,1,batik semarangan,final_train,False,original
dataset_aug/final_train/batik/semarangan3__1e1c6c73c84d__flip_h_0059.jpg,1e1c6c73c84d,grp_1e1c6c73c84d,dataset_batik/batik/batik semarangan/semarangan3.jpg,batik,1,batik semarangan,final_train,True,flip_h
dataset_aug/final_train/batik/0017__1ebf8c8980d8__orig_0036.jpg,1ebf8c8980d8,1ebf8c8980d8,dataset_batik/batik/SulawesiSelatan_Lontara/0017.jpg,batik,1,SulawesiSelatan_Lontara,final_train,False,original
dataset_aug/final_train/batik/0034__204cc85f05f5__orig_0026.jpg,204cc85f05f5,grp_204cc85f05f5,dataset_batik/batik/Solo_Parang/0034.jpg,batik,1,Solo_Parang,final_train,False,original
dataset_aug/final_train/batik/0034__204cc85f05f5__rot-4p1_0004.jpg,204cc85f05f5,grp_204cc85f05f5,dataset_batik/batik/Solo_Parang/0034.jpg,batik,1,Solo_Parang,final_train,True,rot-4p1
dataset_aug/final_train/batik/0033__20802bdd836c__orig_0061.jpg,20802bdd836c,20802bdd836c,dataset_batik/batik/SumateraBarat_Rumah_Minang/0033.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,False,original
dataset_aug/final_train/batik/0016__224b3baae42f__orig_0100.jpg,224b3baae42f,224b3baae42f,dataset_batik/batik/Yogyakarta_Parang/0016.jpg,batik,1,Yogyakarta_Parang,final_train,False,original
dataset_aug/final_train/batik/0027__232973849352__orig_0019.jpg,232973849352,232973849352,dataset_batik/batik/Solo_Parang/0027.jpg,batik,1,Solo_Parang,final_train,False,original
dataset_aug/final_train/batik/0027__232973849352__flip_h_0041.jpg,232973849352,232973849352,dataset_batik/batik/Solo_Parang/0027.jpg,batik,1,Solo_Parang,final_train,True,flip_h
dataset_aug/final_train/batik/solo1__24dcb9ff498b__orig_0134.png,24dcb9ff498b,24dcb9ff498b,dataset_batik/batik/batik solo/solo1.png,batik,1,batik solo,final_train,False,original
dataset_aug/final_train/batik/0014__2a17bd6593bc__orig_0047.jpg,2a17bd6593bc,2a17bd6593bc,dataset_batik/batik/SumateraBarat_Rumah_Minang/0014.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,False,original
dataset_aug/final_train/batik/0014__2a17bd6593bc__flip_v_0042.jpg,2a17bd6593bc,2a17bd6593bc,dataset_batik/batik/SumateraBarat_Rumah_Minang/0014.jpg,batik,1,SumateraBarat_Rumah_Minang,final_train,True,flip_v
