path,source_id,group_id,source_path,kelas,label,subjenis,partition,is_augmented,transform,motif_complexity_score,small_contour_count,glcm_entropy,glcm_homogeneity,lbp_entropy,fft_peak_ratio
dataset_aug/cv_pool/batik/0018__01423db2bf4d__orig_0073.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,cv_pool,False,original,30.266876220703125,1110.0,6.033258717094634,0.5940778007334682,6.28185078861286,110.9871004013901
dataset_aug/cv_pool/batik/0018__01423db2bf4d__brightness0p91_0098.jpg,01423db2bf4d,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,cv_pool,True,brightness0p91,19.809417724609375,788.0,5.899764213383381,0.614508697519635,6.255835400199085,113.37339460908879
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__orig_0132.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,False,original,109.83391571044922,921.0,6.411690355107687,0.569838434486581,6.342496381232701,25.62938934788493
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__flip_h_0005.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,True,flip_h,113.19386291503906,911.0,6.426211753131078,0.5659411277478814,6.372428886749027,25.35597672794991
dataset_aug/cv_pool/batik/semarangan4__028b7571da11__zoom02_0142.jpg,028b7571da11,028b7571da11,dataset_batik/batik/batik semarangan/semarangan4.jpg,batik,1,batik semarangan,cv_pool,True,zoom02,81.4910888671875,828.0,6.228965437259552,0.603244265598338,6.236635872844135,34.03559567936346
dataset_aug/cv_pool/batik/0037__050046f947a6__orig_0028.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,cv_pool,False,original,81.10137557983398,1001.0,6.081687482998703,0.5220058714279624,6.239786553897382,178.11726345630646
dataset_aug/cv_pool/batik/0037__050046f947a6__rot180_0110.jpg,050046f947a6,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,cv_pool,True,rot180,84.6789436340332,1023.0,6.093137152018204,0.5202333542700555,6.236513719718225,177.45102441802084
dataset_aug/cv_pool/batik/003__05ccbfc92105__orig_0110.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original,13.556312561035156,206.0,5.518027100859296,0.6042787135130097,6.074258543201664,154.26800917983815
dataset_aug/cv_pool/batik/003__05ccbfc92105__brightness0p97_0008.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,brightness0p97,10.497550964355469,186.0,5.615646110666129,0.6029870718970913,6.126942919625121,157.8016616577854
dataset_aug/cv_pool/batik/003__05ccbfc92105__rot90_0145.jpg,05ccbfc92105,05ccbfc92105,dataset_batik/batik/Yogyakarta_Parang/003.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,rot90,12.427631378173828,199.0,5.535927954067943,0.6055727795199977,6.084732775912114,155.9527392454443
dataset_aug/cv_pool/batik/0040__0c9036a66a5e__orig_0118.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,cv_pool,False,original,28.83190155029297,774.0,6.21590833199517,0.5688389352075418,6.325112432248194,141.95948142292238
dataset_aug/cv_pool/batik/0040__0c9036a66a5e__contrast1p10_0108.jpg,0c9036a66a5e,0c9036a66a5e,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,batik,1,Yogyakarta_Parang,cv_pool,True,contrast1p10,34.99125671386719,838.0,6.191673182577478,0.5781926564439758,6.3038937062610945,143.49807493965844
dataset_aug/cv_pool/batik/0010__0cda161b73d8__orig_0043.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,False,original,124.97677230834961,861.0,6.995511779630895,0.4064309384947446,6.502614513889738,39.15665553561271
dataset_aug/cv_pool/batik/0010__0cda161b73d8__flip_h_0158.jpg,0cda161b73d8,0cda161b73d8,dataset_batik/batik/SumateraBarat_Rumah_Minang/0010.jpg,batik,1,SumateraBarat_Rumah_Minang,cv_pool,True,flip_h,124.62092971801758,859.0,7.002376036961035,0.40558934104675,6.502821402024361,39.14948267315877
