model,fold,embedding_dim,train_batik,train_non_batik,validation_original,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
ResNet18,1,512,200,200,41,0.926829268292683,0.9052197802197802,0.9238505747126436,0.9052197802197802,0.9136842105263158,0.8288609937283452,0.8461538461538461,0.9642857142857143
ResNet18,2,512,200,200,40,0.925,0.8988095238095238,0.9200626959247649,0.8988095238095238,0.9084668192219679,0.8185963687481157,0.8333333333333334,0.9642857142857143
ResNet18,3,512,200,200,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
ResNet18,4,512,200,200,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
ResNet18,5,512,200,200,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
MobileNetV2,1,1280,200,200,41,0.9512195121951219,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.8873626373626373,0.9230769230769231,0.9642857142857143
MobileNetV2,2,1280,200,200,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNetV2,3,1280,200,200,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
MobileNetV2,4,1280,200,200,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNetV2,5,1280,200,200,40,0.95,0.962962962962963,0.9333333333333333,0.962962962962963,0.945054945054945,0.8958064164776166,1.0,0.9259259259259259
