repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
1,1,Edge/Morfologi,Logistic Regression,0.7790428338474927,0.04543532614247993,"[0.823275862069, 0.78021978022, 0.716312056738, 0.796363636364]"
1,1,Edge/Morfologi,SVM (RBF),0.7953442133416695,0.02498011739991782,"[0.775956284153, 0.811912225705, 0.77207977208, 0.821428571429]"
1,1,Edge/Morfologi,Random Forest,0.8236981011590641,0.03950396913043262,"[0.882183908046, 0.804332634521, 0.796363636364, 0.811912225705]"
1,1,Tekstur,Logistic Regression,0.7635217800446445,0.047645205722208935,"[0.751515151515, 0.7150997151, 0.82905982906, 0.758412424504]"
1,1,Tekstur,SVM (RBF),0.8620984686444942,0.056950829705084534,"[0.856140350877, 0.804332634521, 0.940476190476, 0.847444698703]"
1,1,Tekstur,Random Forest,0.8393632096778549,0.040927572259729775,"[0.837301587302, 0.786666666667, 0.88603988604, 0.847444698703]"
1,1,Frekuensi,Logistic Regression,0.6129969373870995,0.10809136645289652,"[0.675987841945, 0.710335747202, 0.598997493734, 0.466666666667]"
1,1,Frekuensi,SVM (RBF),0.626938720403766,0.12278326086890175,"[0.721088435374, 0.7150997151, 0.613152804642, 0.458413926499]"
1,1,Frekuensi,Random Forest,0.6233598783295108,0.05824510193578846,"[0.587643678161, 0.60113960114, 0.710335747202, 0.594320486815]"
1,1,Gabungan 6 Fitur,Logistic Regression,0.8697037011424883,0.09332828073319818,"[0.943681318681, 0.733333333333, 0.893333333333, 0.908466819222]"
1,1,Gabungan 6 Fitur,SVM (RBF),0.9284398077132632,0.0342384578217869,"[0.913684210526, 0.89010989011, 0.940476190476, 0.969488939741]"
1,1,Gabungan 6 Fitur,Random Forest,0.9197750016743151,0.03613735756767705,"[0.913684210526, 0.88603988604, 0.970909090909, 0.908466819222]"
1,2,Edge/Morfologi,Logistic Regression,0.7686870696833902,0.07759989916632973,"[0.721088435374, 0.796363636364, 0.692522711391, 0.864773495605]"
