repeat,outer_fold,outer_seed,selected_feature_set,selected_model,inner_macro_f1,outer_train_original_n,outer_train_instance_n,outer_test_original_n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
1,1,10042,Gabungan 6 Fitur,SVM (RBF),0.9284398077132632,161,400,40,0.85,0.849002849002849,0.8266666666666667,0.849002849002849,0.8351648351648351,0.6753002216523571,0.8461538461538461,0.8518518518518519
1,2,10042,Gabungan 6 Fitur,Random Forest,0.9419073299734756,161,400,40,0.85,0.829059829059829,0.829059829059829,0.829059829059829,0.829059829059829,0.6581196581196581,0.7692307692307693,0.8888888888888888
1,3,10042,Gabungan 6 Fitur,SVM (RBF),0.8931360306360306,160,400,41,0.926829268292683,0.9258241758241759,0.91005291005291,0.9258241758241759,0.9171717171717171,0.8357282871067254,0.9230769230769231,0.9285714285714286
1,4,10042,Gabungan 6 Fitur,Random Forest,0.8749265915196589,161,400,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,10042,Gabungan 6 Fitur,Random Forest,0.8862067375797352,161,400,40,0.925,0.8846153846153846,0.95,0.8846153846153846,0.9084668192219679,0.8320502943378437,0.7692307692307693,1.0
2,1,20042,Gabungan 6 Fitur,SVM (RBF),0.9360318228242757,161,400,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
2,2,20042,Gabungan 6 Fitur,SVM (RBF),0.9091519327620499,161,400,40,0.95,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.886039886039886,0.9230769230769231,0.9629629629629629
2,3,20042,Gabungan 6 Fitur,Random Forest,0.8928853945364458,160,400,41,0.926829268292683,0.9258241758241759,0.91005291005291,0.9258241758241759,0.9171717171717171,0.8357282871067254,0.9230769230769231,0.9285714285714286
2,4,20042,Gabungan 6 Fitur,Random Forest,0.9424988072356494,161,400,40,0.9,0.8571428571428572,0.9,0.8571428571428572,0.8746081504702194,0.7559289460184545,0.75,0.9642857142857143
2,5,20042,Gabungan 6 Fitur,Random Forest,0.9276165570398132,161,400,40,0.95,0.9230769230769231,0.9655172413793103,0.9230769230769231,0.9404761904761905,0.8875800856756891,0.8461538461538461,1.0
3,1,30042,Gabungan 6 Fitur,SVM (RBF),0.8968093471867057,160,400,41,0.975609756097561,0.9615384615384616,0.9827586206896552,0.9615384615384616,0.9712280701754386,0.9440586233651661,0.9230769230769231,1.0
3,2,30042,Gabungan 6 Fitur,SVM (RBF),0.9368108271881856,161,400,40,0.85,0.8689458689458689,0.8312020460358056,0.8689458689458689,0.8400000000000001,0.6991298210527999,0.9230769230769231,0.8148148148148148
3,3,30042,Gabungan 6 Fitur,SVM (RBF),0.9339491991429315,161,400,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
3,4,30042,Gabungan 6 Fitur,Random Forest,0.9200596883176584,161,400,40,0.925,0.8988095238095238,0.9200626959247649,0.8988095238095238,0.9084668192219679,0.8185963687481157,0.8333333333333334,0.9642857142857143
3,5,30042,Gabungan 6 Fitur,Random Forest,0.9039265815853837,161,400,40,0.925,0.8846153846153846,0.95,0.8846153846153846,0.9084668192219679,0.8320502943378437,0.7692307692307693,1.0
4,1,40042,Gabungan 6 Fitur,SVM (RBF),0.9280840862990964,161,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
4,2,40042,Gabungan 6 Fitur,SVM (RBF),0.9157407095663439,161,400,40,0.975,0.9583333333333333,0.9827586206896552,0.9583333333333333,0.969488939740656,0.9407749312478345,0.9166666666666666,1.0
4,3,40042,Gabungan 6 Fitur,SVM (RBF),0.9002849002849003,160,400,41,0.9024390243902439,0.9285714285714286,0.8823529411764706,0.9285714285714286,0.8948717948717949,0.8096061912275311,1.0,0.8571428571428571
4,4,40042,Gabungan 6 Fitur,Random Forest,0.9423713777487362,161,400,40,0.875,0.8874643874643875,0.8541666666666667,0.8874643874643875,0.8647734956051386,0.7408831771886952,0.9230769230769231,0.8518518518518519
4,5,40042,Gabungan 6 Fitur,Random Forest,0.9216181966181966,161,400,40,0.9,0.8660968660968661,0.9028213166144201,0.8660968660968661,0.8809523809523809,0.7680406801974818,0.7692307692307693,0.9629629629629629
5,1,50042,Gabungan 6 Fitur,SVM (RBF),0.8876164092865841,160,400,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2,50042,Gabungan 6 Fitur,Random Forest,0.9162739108986574,161,400,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
5,3,50042,Gabungan 6 Fitur,Random Forest,0.94991519091817,161,400,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
5,4,50042,Gabungan 6 Fitur,Random Forest,0.9159972104156475,161,400,40,0.9,0.8571428571428572,0.9,0.8571428571428572,0.8746081504702194,0.7559289460184545,0.75,0.9642857142857143
5,5,50042,Gabungan 6 Fitur,SVM (RBF),0.9368552739800204,161,400,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
