repeat,outer_fold,inner_fold,phase,kelas,is_augmented,instances
1,1,1,inner_selection,batik,False,82
1,1,1,inner_selection,batik,True,118
1,1,1,inner_selection,non_batik,False,38
1,1,1,inner_selection,non_batik,True,162
1,1,2,inner_selection,batik,False,83
1,1,2,inner_selection,batik,True,117
1,1,2,inner_selection,non_batik,False,38
1,1,2,inner_selection,non_batik,True,162
1,1,3,inner_selection,batik,False,83
1,1,3,inner_selection,batik,True,117
1,1,3,inner_selection,non_batik,False,38
1,1,3,inner_selection,non_batik,True,162
1,1,4,inner_selection,batik,False,82
1,1,4,inner_selection,batik,True,118
1,1,4,inner_selection,non_batik,False,39
1,1,4,inner_selection,non_batik,True,161
1,1,all,outer_fit,batik,False,110
1,1,all,outer_fit,batik,True,90
1,1,all,outer_fit,non_batik,False,51
1,1,all,outer_fit,non_batik,True,149
1,2,1,inner_selection,batik,False,82
1,2,1,inner_selection,batik,True,118
1,2,1,inner_selection,non_batik,False,38
1,2,1,inner_selection,non_batik,True,162
1,2,2,inner_selection,batik,False,83
1,2,2,inner_selection,batik,True,117
1,2,2,inner_selection,non_batik,False,38
1,2,2,inner_selection,non_batik,True,162
1,2,3,inner_selection,batik,False,82
1,2,3,inner_selection,batik,True,118
1,2,3,inner_selection,non_batik,False,39
1,2,3,inner_selection,non_batik,True,161
1,2,4,inner_selection,batik,False,83
1,2,4,inner_selection,batik,True,117
1,2,4,inner_selection,non_batik,False,38
1,2,4,inner_selection,non_batik,True,162
1,2,all,outer_fit,batik,False,110
1,2,all,outer_fit,batik,True,90
1,2,all,outer_fit,non_batik,False,51
1,2,all,outer_fit,non_batik,True,149
1,3,1,inner_selection,batik,False,82
1,3,1,inner_selection,batik,True,118
1,3,1,inner_selection,non_batik,False,38
1,3,1,inner_selection,non_batik,True,162
1,3,2,inner_selection,batik,False,82
1,3,2,inner_selection,batik,True,118
1,3,2,inner_selection,non_batik,False,38
1,3,2,inner_selection,non_batik,True,162
1,3,3,inner_selection,batik,False,81
1,3,3,inner_selection,batik,True,119
1,3,3,inner_selection,non_batik,False,39
1,3,3,inner_selection,non_batik,True,161
1,3,4,inner_selection,batik,False,82
1,3,4,inner_selection,batik,True,118
1,3,4,inner_selection,non_batik,False,38
1,3,4,inner_selection,non_batik,True,162
1,3,all,outer_fit,batik,False,109
1,3,all,outer_fit,batik,True,91
1,3,all,outer_fit,non_batik,False,51
1,3,all,outer_fit,non_batik,True,149
1,4,1,inner_selection,batik,False,81
1,4,1,inner_selection,batik,True,119
1,4,1,inner_selection,non_batik,False,39
1,4,1,inner_selection,non_batik,True,161
1,4,2,inner_selection,batik,False,82
1,4,2,inner_selection,batik,True,118
1,4,2,inner_selection,non_batik,False,39
1,4,2,inner_selection,non_batik,True,161
1,4,3,inner_selection,batik,False,82
1,4,3,inner_selection,batik,True,118
1,4,3,inner_selection,non_batik,False,39
1,4,3,inner_selection,non_batik,True,161
1,4,4,inner_selection,batik,False,82
1,4,4,inner_selection,batik,True,118
1,4,4,inner_selection,non_batik,False,39
1,4,4,inner_selection,non_batik,True,161
1,4,all,outer_fit,batik,False,109
1,4,all,outer_fit,batik,True,91
1,4,all,outer_fit,non_batik,False,52
1,4,all,outer_fit,non_batik,True,148
1,5,1,inner_selection,batik,False,82
1,5,1,inner_selection,batik,True,118
1,5,1,inner_selection,non_batik,False,38
1,5,1,inner_selection,non_batik,True,162
1,5,2,inner_selection,batik,False,83
1,5,2,inner_selection,batik,True,117
1,5,2,inner_selection,non_batik,False,38
1,5,2,inner_selection,non_batik,True,162
1,5,3,inner_selection,batik,False,82
1,5,3,inner_selection,batik,True,118
1,5,3,inner_selection,non_batik,False,39
1,5,3,inner_selection,non_batik,True,161
1,5,4,inner_selection,batik,False,83
1,5,4,inner_selection,batik,True,117
1,5,4,inner_selection,non_batik,False,38
1,5,4,inner_selection,non_batik,True,162
1,5,all,outer_fit,batik,False,110
1,5,all,outer_fit,batik,True,90
1,5,all,outer_fit,non_batik,False,51
1,5,all,outer_fit,non_batik,True,149
2,1,1,inner_selection,batik,False,82
2,1,1,inner_selection,batik,True,118
2,1,1,inner_selection,non_batik,False,38
2,1,1,inner_selection,non_batik,True,162
2,1,2,inner_selection,batik,False,83
2,1,2,inner_selection,batik,True,117
2,1,2,inner_selection,non_batik,False,38
2,1,2,inner_selection,non_batik,True,162
2,1,3,inner_selection,batik,False,83
2,1,3,inner_selection,batik,True,117
2,1,3,inner_selection,non_batik,False,38
2,1,3,inner_selection,non_batik,True,162
2,1,4,inner_selection,batik,False,82
2,1,4,inner_selection,batik,True,118
2,1,4,inner_selection,non_batik,False,39
2,1,4,inner_selection,non_batik,True,161
2,1,all,outer_fit,batik,False,110
2,1,all,outer_fit,batik,True,90
2,1,all,outer_fit,non_batik,False,51
2,1,all,outer_fit,non_batik,True,149
2,2,1,inner_selection,batik,False,82
2,2,1,inner_selection,batik,True,118
2,2,1,inner_selection,non_batik,False,39
2,2,1,inner_selection,non_batik,True,161
2,2,2,inner_selection,batik,False,82
2,2,2,inner_selection,batik,True,118
2,2,2,inner_selection,non_batik,False,38
2,2,2,inner_selection,non_batik,True,162
2,2,3,inner_selection,batik,False,83
2,2,3,inner_selection,batik,True,117
2,2,3,inner_selection,non_batik,False,38
2,2,3,inner_selection,non_batik,True,162
2,2,4,inner_selection,batik,False,83
2,2,4,inner_selection,batik,True,117
2,2,4,inner_selection,non_batik,False,38
2,2,4,inner_selection,non_batik,True,162
2,2,all,outer_fit,batik,False,110
2,2,all,outer_fit,batik,True,90
2,2,all,outer_fit,non_batik,False,51
2,2,all,outer_fit,non_batik,True,149
2,3,1,inner_selection,batik,False,82
2,3,1,inner_selection,batik,True,118
2,3,1,inner_selection,non_batik,False,38
2,3,1,inner_selection,non_batik,True,162
2,3,2,inner_selection,batik,False,82
2,3,2,inner_selection,batik,True,118
2,3,2,inner_selection,non_batik,False,38
2,3,2,inner_selection,non_batik,True,162
2,3,3,inner_selection,batik,False,82
2,3,3,inner_selection,batik,True,118
2,3,3,inner_selection,non_batik,False,38
2,3,3,inner_selection,non_batik,True,162
2,3,4,inner_selection,batik,False,81
2,3,4,inner_selection,batik,True,119
2,3,4,inner_selection,non_batik,False,39
2,3,4,inner_selection,non_batik,True,161
2,3,all,outer_fit,batik,False,109
2,3,all,outer_fit,batik,True,91
2,3,all,outer_fit,non_batik,False,51
2,3,all,outer_fit,non_batik,True,149
2,4,1,inner_selection,batik,False,81
2,4,1,inner_selection,batik,True,119
2,4,1,inner_selection,non_batik,False,39
2,4,1,inner_selection,non_batik,True,161
2,4,2,inner_selection,batik,False,82
2,4,2,inner_selection,batik,True,118
2,4,2,inner_selection,non_batik,False,39
