repeat,outer_fold,inner_fold,phase,source_id,path,kelas,label,subjenis,is_augmented,transform,transform_index
1,1,1,inner_selection,a940ff920c6c,dataset_batik/batik/Yogyakarta_Parang/005.jpg,batik,1,Yogyakarta_Parang,False,original,-1
1,1,1,inner_selection,3db82daf6e86,dataset_batik/non_batik/tenun/tenun (4).png,non_batik,0,tenun,False,original,-1
1,1,1,inner_selection,e7708ac8cb87,dataset_batik/batik/Yogyakarta_Parang/0036.jpg,batik,1,Yogyakarta_Parang,True,zoom04,6
1,1,1,inner_selection,4bd0134802da,dataset_batik/non_batik/polkadot/polkadot5.jpg,non_batik,0,polkadot,False,original,-1
1,1,1,inner_selection,0ed496d9169c,dataset_batik/non_batik/polos/polos (9).png,non_batik,0,polos,True,flip_v,5
1,1,1,inner_selection,6b6b7bdfe34a,dataset_batik/non_batik/polos/polos (7).png,non_batik,0,polos,False,original,-1
1,1,1,inner_selection,73e531fe1cee,dataset_batik/batik/SumateraBarat_Rumah_Minang/0015.jpg,batik,1,SumateraBarat_Rumah_Minang,False,original,-1
1,1,1,inner_selection,519b6e1dfbd9,dataset_batik/batik/Yogyakarta_Parang/0039.jpg,batik,1,Yogyakarta_Parang,True,rot-3p6,3
1,1,1,inner_selection,8302690a77c5,dataset_batik/batik/SumateraBarat_Rumah_Minang/002.jpg,batik,1,SumateraBarat_Rumah_Minang,False,original,-1
1,1,1,inner_selection,318560941f39,dataset_batik/batik/Yogyakarta_Kawung/003.jpg,batik,1,Yogyakarta_Kawung,False,original,-1
1,1,1,inner_selection,8302690a77c5,dataset_batik/batik/SumateraBarat_Rumah_Minang/002.jpg,batik,1,SumateraBarat_Rumah_Minang,True,brightness0p92,7
1,1,1,inner_selection,3c1f730579dc,dataset_batik/non_batik/polos/polos (1).png,non_batik,0,polos,True,flip_v,5
1,1,1,inner_selection,01423db2bf4d,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,batik,1,Yogyakarta_Kawung,False,original,-1
1,1,1,inner_selection,92deccab5470,dataset_batik/non_batik/geometris/geometris (10).png,non_batik,0,geometris,False,original,-1
1,1,1,inner_selection,7fbd1b9fbaf8,dataset_batik/batik/SulawesiSelatan_Lontara/0013.jpg,batik,1,SulawesiSelatan_Lontara,True,rot270,2
1,1,1,inner_selection,c2b746a6af12,dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,batik,1,Yogyakarta_Kawung,True,flip_h,4
1,1,1,inner_selection,224b3baae42f,dataset_batik/batik/Yogyakarta_Parang/0016.jpg,batik,1,Yogyakarta_Parang,True,rot180,1
1,1,1,inner_selection,8c566ec9c05a,dataset_batik/batik/SumateraBarat_Rumah_Minang/009.jpg,batik,1,SumateraBarat_Rumah_Minang,True,rot180,1
1,1,1,inner_selection,4ce26e238996,dataset_batik/batik/Solo_Parang/004.jpg,batik,1,Solo_Parang,True,zoom10,6
1,1,1,inner_selection,32d72ffa72f3,dataset_batik/batik/SumateraBarat_Rumah_Minang/008.jpg,batik,1,SumateraBarat_Rumah_Minang,False,original,-1
1,1,1,inner_selection,a940ff920c6c,dataset_batik/batik/Yogyakarta_Parang/005.jpg,batik,1,Yogyakarta_Parang,True,rot+10p8,3
1,1,1,inner_selection,050046f947a6,dataset_batik/batik/Solo_Parang/0037.jpg,batik,1,Solo_Parang,True,brightness0p92,7
1,1,1,inner_selection,6900868add34,dataset_batik/batik/batik pekalongan/pekalongan5.jpg,batik,1,batik pekalongan,False,original,-1
1,1,1,inner_selection,dac06cb81326,dataset_batik/non_batik/tenun/tenun (9).png,non_batik,0,tenun,True,flip_h,4
