arm,repeat,outer_fold,selected_feature_set,selected_model,inner_macro_f1,train_instances,train_batik,train_non_batik,train_originals,train_derivatives,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
augmented_balanced,3,1,Gabungan 6 Fitur,Random Forest,0.8976895130041583,400,200,200,160,240,41,0.9024390243902439,0.8873626373626373,0.8873626373626373,0.8873626373626373,0.8873626373626373,0.7747252747252747,0.8461538461538461,0.9285714285714286
augmented_balanced,3,2,Gabungan 6 Fitur,SVM (RBF),0.900724533163925,400,200,200,161,239,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
augmented_balanced,3,3,Gabungan 6 Fitur,SVM (RBF),0.9222398897398898,400,200,200,161,239,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
augmented_balanced,3,4,Gabungan 6 Fitur,SVM (RBF),0.9228850713649336,400,200,200,161,239,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
augmented_balanced,3,5,Gabungan 6 Fitur,SVM (RBF),0.9206126036207654,400,200,200,161,239,40,0.875,0.8874643874643875,0.8541666666666667,0.8874643874643875,0.8647734956051386,0.7408831771886952,0.9230769230769231,0.8518518518518519
augmented_balanced,4,1,Gabungan 6 Fitur,SVM (RBF),0.9153999071944648,400,200,200,160,240,41,0.8780487804878049,0.8695054945054945,0.8558201058201058,0.8695054945054945,0.8619528619528619,0.7251964813926101,0.8461538461538461,0.8928571428571429
augmented_balanced,4,2,Gabungan 6 Fitur,SVM (RBF),0.9020575860198502,400,200,200,161,239,40,0.95,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9430199430199431,0.8921425711997711,1.0,0.9285714285714286
augmented_balanced,4,3,Gabungan 6 Fitur,SVM (RBF),0.9283176273051028,400,200,200,161,239,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
augmented_balanced,4,4,Gabungan 6 Fitur,SVM (RBF),0.9148294520850018,400,200,200,161,239,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
augmented_balanced,4,5,Gabungan 6 Fitur,SVM (RBF),0.9152676027676028,400,200,200,161,239,40,0.95,0.962962962962963,0.9333333333333333,0.962962962962963,0.945054945054945,0.8958064164776166,1.0,0.9259259259259259
augmented_balanced,5,1,Gabungan 6 Fitur,SVM (RBF),0.9275030525030525,400,200,200,160,240,41,0.9512195121951219,0.9642857142857143,0.9333333333333333,0.9642857142857143,0.9457671957671958,0.8970852271450604,1.0,0.9285714285714286
augmented_balanced,5,2,Gabungan 6 Fitur,Random Forest,0.9236172306175943,400,200,200,161,239,40,0.925,0.9226190476190477,0.9045584045584045,0.9226190476190477,0.9127272727272727,0.8269802600806244,0.9166666666666666,0.9285714285714286
augmented_balanced,5,3,Gabungan 6 Fitur,SVM (RBF),0.8797565471172505,400,200,200,161,239,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
augmented_balanced,5,4,Gabungan 6 Fitur,SVM (RBF),0.9297460872460872,400,200,200,161,239,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
augmented_balanced,5,5,Gabungan 6 Fitur,SVM (RBF),0.915376176752234,400,200,200,161,239,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
