arm,repeat,outer_fold,class_weight,uses_augmentation,n_batik,n_non_batik
balanced_original_sampling,1,1,None,False,51,51
balanced_original_sampling,1,2,None,False,52,52
balanced_original_sampling,1,3,None,False,51,51
balanced_original_sampling,1,4,None,False,51,51
balanced_original_sampling,1,5,None,False,51,51
balanced_original_sampling,2,1,None,False,51,51
balanced_original_sampling,2,2,None,False,52,52
balanced_original_sampling,2,3,None,False,51,51
balanced_original_sampling,2,4,None,False,51,51
balanced_original_sampling,2,5,None,False,51,51
balanced_original_sampling,3,1,None,False,51,51
balanced_original_sampling,3,2,None,False,52,52
balanced_original_sampling,3,3,None,False,51,51
balanced_original_sampling,3,4,None,False,51,51
balanced_original_sampling,3,5,None,False,51,51
balanced_original_sampling,4,1,None,False,51,51
balanced_original_sampling,4,2,None,False,52,52
balanced_original_sampling,4,3,None,False,51,51
balanced_original_sampling,4,4,None,False,51,51
balanced_original_sampling,4,5,None,False,51,51
balanced_original_sampling,5,1,None,False,51,51
balanced_original_sampling,5,2,None,False,52,52
balanced_original_sampling,5,3,None,False,51,51
balanced_original_sampling,5,4,None,False,51,51
balanced_original_sampling,5,5,None,False,51,51
