arm,repeat,outer_fold,selected_feature_set,selected_model,inner_macro_f1,train_instances,train_batik,train_non_batik,train_originals,train_derivatives,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
balanced_original_sampling,1,1,Gabungan 6 Fitur,SVM (RBF),0.9288402181326709,102,51,51,102,0,41,0.8780487804878049,0.8695054945054945,0.8558201058201058,0.8695054945054945,0.8619528619528619,0.7251964813926101,0.8461538461538461,0.8928571428571429
balanced_original_sampling,1,2,Gabungan 6 Fitur,SVM (RBF),0.937955192955193,104,52,52,104,0,40,0.875,0.8392857142857143,0.8573667711598747,0.8392857142857143,0.84744469870328,0.696417806248397,0.75,0.9285714285714286
balanced_original_sampling,1,3,Gabungan 6 Fitur,SVM (RBF),0.8846202362605159,102,51,51,102,0,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_original_sampling,1,4,Gabungan 6 Fitur,SVM (RBF),0.8744929029304029,102,51,51,102,0,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
balanced_original_sampling,1,5,Gabungan 6 Fitur,SVM (RBF),0.9032356532356531,102,51,51,102,0,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
balanced_original_sampling,2,1,Gabungan 6 Fitur,SVM (RBF),0.8937392157676255,102,51,51,102,0,41,0.9512195121951219,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.8873626373626373,0.9230769230769231,0.9642857142857143
balanced_original_sampling,2,2,Gabungan 6 Fitur,Random Forest,0.908346071956189,104,52,52,104,0,40,0.875,0.8392857142857143,0.8573667711598747,0.8392857142857143,0.84744469870328,0.696417806248397,0.75,0.9285714285714286
balanced_original_sampling,2,3,Gabungan 6 Fitur,SVM (RBF),0.9157763532763532,102,51,51,102,0,40,0.75,0.7350427350427351,0.72,0.7350427350427351,0.7252747252747254,0.4547940268270977,0.6923076923076923,0.7777777777777778
balanced_original_sampling,2,4,Gabungan 6 Fitur,SVM (RBF),0.8981583231583232,102,51,51,102,0,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
balanced_original_sampling,2,5,Gabungan 6 Fitur,Random Forest,0.895246463125423,102,51,51,102,0,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
balanced_original_sampling,3,1,Gabungan 6 Fitur,SVM (RBF),0.8964642764642765,102,51,51,102,0,41,0.975609756097561,0.9821428571428572,0.9642857142857143,0.9821428571428572,0.9723905723905724,0.9462600928208407,1.0,0.9642857142857143
balanced_original_sampling,3,2,Gabungan 6 Fitur,SVM (RBF),0.9175257886212369,104,52,52,104,0,40,0.925,0.9226190476190477,0.9045584045584045,0.9226190476190477,0.9127272727272727,0.8269802600806244,0.9166666666666666,0.9285714285714286
balanced_original_sampling,3,3,Gabungan 6 Fitur,SVM (RBF),0.8952079541702184,102,51,51,102,0,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
balanced_original_sampling,3,4,Gabungan 6 Fitur,SVM (RBF),0.918531175323628,102,51,51,102,0,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
balanced_original_sampling,3,5,Gabungan 6 Fitur,SVM (RBF),0.9294754140632989,102,51,51,102,0,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
balanced_original_sampling,4,1,Gabungan 6 Fitur,SVM (RBF),0.9356838828536941,102,51,51,102,0,41,0.8780487804878049,0.848901098901099,0.8649425287356323,0.848901098901099,0.856140350877193,0.7136633640915244,0.7692307692307693,0.9285714285714286
balanced_original_sampling,4,2,Gabungan 6 Fitur,SVM (RBF),0.8903962732850176,104,52,52,104,0,40,0.95,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9430199430199431,0.8921425711997711,1.0,0.9285714285714286
balanced_original_sampling,4,3,Gabungan 6 Fitur,SVM (RBF),0.9226024892298477,102,51,51,102,0,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
balanced_original_sampling,4,4,Gabungan 6 Fitur,SVM (RBF),0.9085444596347233,102,51,51,102,0,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
balanced_original_sampling,4,5,Gabungan 6 Fitur,SVM (RBF),0.9008146874657388,102,51,51,102,0,40,0.9,0.9259259259259259,0.8823529411764706,0.9259259259259259,0.8933333333333333,0.8071035385899118,1.0,0.8518518518518519
balanced_original_sampling,5,1,Gabungan 6 Fitur,SVM (RBF),0.9191261319407773,102,51,51,102,0,41,0.926829268292683,0.9464285714285714,0.90625,0.9464285714285714,0.9199739752765127,0.8517314298365586,1.0,0.8928571428571429
balanced_original_sampling,5,2,Gabungan 6 Fitur,SVM (RBF),0.9162739108986574,104,52,52,104,0,40,0.875,0.9107142857142857,0.8529411764705883,0.9107142857142857,0.8647734956051386,0.7614669610515674,1.0,0.8214285714285714
balanced_original_sampling,5,3,Gabungan 6 Fitur,SVM (RBF),0.8850956447203912,102,51,51,102,0,40,0.95,0.9230769230769231,0.9655172413793103,0.9230769230769231,0.9404761904761905,0.8875800856756891,0.8461538461538461,1.0
balanced_original_sampling,5,4,Gabungan 6 Fitur,SVM (RBF),0.92362762150498,102,51,51,102,0,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
balanced_original_sampling,5,5,Gabungan 6 Fitur,SVM (RBF),0.8835594943142112,102,51,51,102,0,40,0.925,0.9045584045584045,0.9226190476190477,0.9045584045584045,0.9127272727272727,0.8269802600806244,0.8461538461538461,0.9629629629629629
