arm,repeat,outer_fold,class_weight,uses_augmentation,n_batik,n_non_batik
class_weighted_originals,1,1,balanced,False,109,51
class_weighted_originals,1,2,balanced,False,109,52
class_weighted_originals,1,3,balanced,False,110,51
class_weighted_originals,1,4,balanced,False,110,51
class_weighted_originals,1,5,balanced,False,110,51
class_weighted_originals,2,1,balanced,False,109,51
class_weighted_originals,2,2,balanced,False,109,52
class_weighted_originals,2,3,balanced,False,110,51
class_weighted_originals,2,4,balanced,False,110,51
class_weighted_originals,2,5,balanced,False,110,51
class_weighted_originals,3,1,balanced,False,109,51
class_weighted_originals,3,2,balanced,False,109,52
class_weighted_originals,3,3,balanced,False,110,51
class_weighted_originals,3,4,balanced,False,110,51
class_weighted_originals,3,5,balanced,False,110,51
class_weighted_originals,4,1,balanced,False,109,51
class_weighted_originals,4,2,balanced,False,109,52
class_weighted_originals,4,3,balanced,False,110,51
class_weighted_originals,4,4,balanced,False,110,51
class_weighted_originals,4,5,balanced,False,110,51
class_weighted_originals,5,1,balanced,False,109,51
class_weighted_originals,5,2,balanced,False,109,52
class_weighted_originals,5,3,balanced,False,110,51
class_weighted_originals,5,4,balanced,False,110,51
class_weighted_originals,5,5,balanced,False,110,51
