arm,repeat,outer_fold,selected_feature_set,selected_model,inner_macro_f1,train_instances,train_batik,train_non_batik,train_originals,train_derivatives,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
class_weighted_originals,1,1,Gabungan 6 Fitur,SVM (RBF),0.9296652421652422,160,109,51,160,0,41,0.8536585365853658,0.8516483516483516,0.8282051282051281,0.8516483516483516,0.8373015873015872,0.6794491661217026,0.8461538461538461,0.8571428571428571
class_weighted_originals,1,2,Gabungan 6 Fitur,SVM (RBF),0.9306824656824657,161,109,52,161,0,40,0.925,0.9226190476190477,0.9045584045584045,0.9226190476190477,0.9127272727272727,0.8269802600806244,0.9166666666666666,0.9285714285714286
class_weighted_originals,1,3,Gabungan 6 Fitur,SVM (RBF),0.8995053237083165,161,110,51,161,0,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
class_weighted_originals,1,4,Gabungan 6 Fitur,SVM (RBF),0.8948270965005245,161,110,51,161,0,40,0.9,0.905982905982906,0.88,0.905982905982906,0.8901098901098901,0.7855533190649869,0.9230769230769231,0.8888888888888888
class_weighted_originals,1,5,Gabungan 6 Fitur,Random Forest,0.8977255558184315,161,110,51,161,0,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
class_weighted_originals,2,1,Gabungan 6 Fitur,SVM (RBF),0.9012072892734349,160,109,51,160,0,41,0.9512195121951219,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.8873626373626373,0.9230769230769231,0.9642857142857143
class_weighted_originals,2,2,Gabungan 6 Fitur,SVM (RBF),0.9239188122935588,161,109,52,161,0,40,0.95,0.9166666666666667,0.9666666666666667,0.9166666666666667,0.9373040752351097,0.8819171036881969,0.8333333333333334,1.0
class_weighted_originals,2,3,Gabungan 6 Fitur,SVM (RBF),0.9370382849156433,161,110,51,161,0,40,0.85,0.849002849002849,0.8266666666666667,0.849002849002849,0.8351648351648351,0.6753002216523571,0.8461538461538461,0.8518518518518519
class_weighted_originals,2,4,Gabungan 6 Fitur,SVM (RBF),0.920002431654974,161,110,51,161,0,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
class_weighted_originals,2,5,Gabungan 6 Fitur,SVM (RBF),0.8819804409427051,161,110,51,161,0,40,0.95,0.962962962962963,0.9333333333333333,0.962962962962963,0.945054945054945,0.8958064164776166,1.0,0.9259259259259259
class_weighted_originals,3,1,Gabungan 6 Fitur,SVM (RBF),0.901053508742296,160,109,51,160,0,41,0.9512195121951219,0.9642857142857143,0.9333333333333333,0.9642857142857143,0.9457671957671958,0.8970852271450604,1.0,0.9285714285714286
class_weighted_originals,3,2,Gabungan 6 Fitur,SVM (RBF),0.9157554945054945,161,109,52,161,0,40,0.95,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.8809523809523809,0.9166666666666666,0.9642857142857143
class_weighted_originals,3,3,Gabungan 6 Fitur,SVM (RBF),0.9020550988085145,161,110,51,161,0,40,0.925,0.9245014245014245,0.9093406593406593,0.9245014245014245,0.9161425576519916,0.8337042473118683,0.9230769230769231,0.9259259259259259
class_weighted_originals,3,4,Gabungan 6 Fitur,SVM (RBF),0.9255034622959151,161,110,51,161,0,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
class_weighted_originals,3,5,Gabungan 6 Fitur,SVM (RBF),0.9001286950939383,161,110,51,161,0,40,0.875,0.8874643874643875,0.8541666666666667,0.8874643874643875,0.8647734956051386,0.7408831771886952,0.9230769230769231,0.8518518518518519
class_weighted_originals,4,1,Gabungan 6 Fitur,SVM (RBF),0.9286957626580268,160,109,51,160,0,41,0.9024390243902439,0.8873626373626373,0.8873626373626373,0.8873626373626373,0.8873626373626373,0.7747252747252747,0.8461538461538461,0.9285714285714286
class_weighted_originals,4,2,Gabungan 6 Fitur,SVM (RBF),0.9116006105270907,161,109,52,161,0,40,0.925,0.9464285714285714,0.9,0.9464285714285714,0.9161425576519916,0.8451542547285166,1.0,0.8928571428571429
class_weighted_originals,4,3,Gabungan 6 Fitur,SVM (RBF),0.9217774598436055,161,110,51,161,0,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
class_weighted_originals,4,4,Gabungan 6 Fitur,SVM (RBF),0.9162083557983455,161,110,51,161,0,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
class_weighted_originals,4,5,Gabungan 6 Fitur,SVM (RBF),0.9152676027676028,161,110,51,161,0,40,0.9,0.9259259259259259,0.8823529411764706,0.9259259259259259,0.8933333333333333,0.8071035385899118,1.0,0.8518518518518519
class_weighted_originals,5,1,Gabungan 6 Fitur,SVM (RBF),0.9140643598190767,160,109,51,160,0,41,0.926829268292683,0.9464285714285714,0.90625,0.9464285714285714,0.9199739752765127,0.8517314298365586,1.0,0.8928571428571429
class_weighted_originals,5,2,Gabungan 6 Fitur,Random Forest,0.8976536240266217,161,109,52,161,0,40,0.95,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.8809523809523809,0.9166666666666666,0.9642857142857143
