arm,repeat,outer_fold,class_weight,uses_augmentation,n_batik,n_non_batik
augmented_balanced,1,1,None,True,200,200
augmented_balanced,1,2,None,True,200,200
augmented_balanced,1,3,None,True,200,200
augmented_balanced,1,4,None,True,200,200
augmented_balanced,1,5,None,True,200,200
augmented_balanced,2,1,None,True,200,200
augmented_balanced,2,2,None,True,200,200
augmented_balanced,2,3,None,True,200,200
augmented_balanced,2,4,None,True,200,200
augmented_balanced,2,5,None,True,200,200
augmented_balanced,3,1,None,True,200,200
augmented_balanced,3,2,None,True,200,200
augmented_balanced,3,3,None,True,200,200
augmented_balanced,3,4,None,True,200,200
augmented_balanced,3,5,None,True,200,200
augmented_balanced,4,1,None,True,200,200
augmented_balanced,4,2,None,True,200,200
augmented_balanced,4,3,None,True,200,200
augmented_balanced,4,4,None,True,200,200
augmented_balanced,4,5,None,True,200,200
augmented_balanced,5,1,None,True,200,200
augmented_balanced,5,2,None,True,200,200
augmented_balanced,5,3,None,True,200,200
augmented_balanced,5,4,None,True,200,200
augmented_balanced,5,5,None,True,200,200
class_weighted_originals,1,1,balanced,False,110,51
class_weighted_originals,1,2,balanced,False,110,51
class_weighted_originals,1,3,balanced,False,109,51
class_weighted_originals,1,4,balanced,False,109,52
class_weighted_originals,1,5,balanced,False,110,51
class_weighted_originals,2,1,balanced,False,110,51
class_weighted_originals,2,2,balanced,False,110,51
class_weighted_originals,2,3,balanced,False,109,51
class_weighted_originals,2,4,balanced,False,109,52
class_weighted_originals,2,5,balanced,False,110,51
class_weighted_originals,3,1,balanced,False,109,51
class_weighted_originals,3,2,balanced,False,110,51
class_weighted_originals,3,3,balanced,False,110,51
class_weighted_originals,3,4,balanced,False,109,52
class_weighted_originals,3,5,balanced,False,110,51
class_weighted_originals,4,1,balanced,False,110,51
class_weighted_originals,4,2,balanced,False,109,52
class_weighted_originals,4,3,balanced,False,109,51
class_weighted_originals,4,4,balanced,False,110,51
class_weighted_originals,4,5,balanced,False,110,51
class_weighted_originals,5,1,balanced,False,109,51
class_weighted_originals,5,2,balanced,False,110,51
class_weighted_originals,5,3,balanced,False,110,51
class_weighted_originals,5,4,balanced,False,109,52
class_weighted_originals,5,5,balanced,False,110,51
balanced_original_sampling,1,1,None,False,51,51
balanced_original_sampling,1,2,None,False,51,51
balanced_original_sampling,1,3,None,False,51,51
balanced_original_sampling,1,4,None,False,52,52
balanced_original_sampling,1,5,None,False,51,51
balanced_original_sampling,2,1,None,False,51,51
balanced_original_sampling,2,2,None,False,51,51
balanced_original_sampling,2,3,None,False,51,51
balanced_original_sampling,2,4,None,False,52,52
balanced_original_sampling,2,5,None,False,51,51
balanced_original_sampling,3,1,None,False,51,51
balanced_original_sampling,3,2,None,False,51,51
balanced_original_sampling,3,3,None,False,51,51
balanced_original_sampling,3,4,None,False,52,52
balanced_original_sampling,3,5,None,False,51,51
balanced_original_sampling,4,1,None,False,51,51
balanced_original_sampling,4,2,None,False,52,52
balanced_original_sampling,4,3,None,False,51,51
balanced_original_sampling,4,4,None,False,51,51
balanced_original_sampling,4,5,None,False,51,51
balanced_original_sampling,5,1,None,False,51,51
balanced_original_sampling,5,2,None,False,51,51
balanced_original_sampling,5,3,None,False,51,51
balanced_original_sampling,5,4,None,False,52,52
balanced_original_sampling,5,5,None,False,51,51
