left,right,patch_corr
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Batik Sekar Jagad/1.jpg,0.2099
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Batik Sekar Jagad/37.jpg,0.1836
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Batik Sekar Jagad/38.jpg,0.1522
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Batik Sekar Jagad/54.jpg,0.1495
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/001.jpg,0.2076
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0010.jpg,0.1708
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0011.jpg,0.1851
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0012.jpg,0.1451
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0013.jpg,0.1926
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0014.jpg,0.2352
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0016.jpg,0.1662
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0017.jpg,0.1745
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0020.jpg,0.1634
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0021.jpg,0.1766
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0022.jpg,0.212
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0024.jpg,0.1106
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0025.jpg,0.2252
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Solo_Parang/0027.jpg,0.1264
