left,right,patch_corr,align_score,dx,dy,overlap_w,overlap_h,residual_rgb
dataset_batik/batik/Yogyakarta_Parang/0012.jpg,dataset_batik/batik/Yogyakarta_Parang/0017.jpg,0.9981,0.9982160329818726,-32,0,224,256,4.720098495483398
dataset_batik/batik/batik semarangan/semarangan3.jpg,dataset_batik/batik/batik semarangan/semarangan5.jpg,0.9932,0.992943525314331,0,0,256,256,5.565633296966553
dataset_batik/batik/Solo_Parang/0032.jpg,dataset_batik/batik/Solo_Parang/0040.jpg,0.9766,0.9741871953010559,0,-36,256,220,5.946567058563232
dataset_batik/batik/Yogyakarta_Kawung/0010.jpg,dataset_batik/batik/Yogyakarta_Kawung/0030.jpg,0.9959,0.9958248734474182,-24,0,232,256,6.241395950317383
dataset_batik/batik/Solo_Parang/0028.jpg,dataset_batik/batik/Solo_Parang/0034.jpg,0.9868,0.9869329333305359,-51,0,205,256,7.452547073364258
dataset_batik/batik/Solo_Parang/0017.jpg,dataset_batik/batik/Solo_Parang/0021.jpg,0.9707,0.9690274596214294,21,0,235,256,13.287505149841309
dataset_batik/batik/Yogyakarta_Parang/0012.jpg,dataset_batik/batik/Yogyakarta_Parang/009.jpg,0.97,0.9653975367546082,-48,-21,208,235,14.450183868408203
dataset_batik/batik/Yogyakarta_Parang/0017.jpg,dataset_batik/batik/Yogyakarta_Parang/009.jpg,0.9703,0.9697048664093018,-36,0,220,256,14.782693862915039
dataset_batik/batik/SumateraBarat_Rumah_Minang/0012.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0024.jpg,0.9185,0.9171182513237,0,0,256,256,22.704015731811523
dataset_batik/batik/SumateraBarat_Rumah_Minang/0011.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0027.jpg,0.7961,0.7448140382766724,-5,-3,251,253,24.21040916442871
dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,0.8927,0.8680714964866638,-29,-6,227,250,27.922536849975586
dataset_batik/batik/Yogyakarta_Kawung/0024.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.9006,0.8723640441894531,-10,46,246,210,30.86577606201172
dataset_batik/batik/Yogyakarta_Kawung/003.jpg,dataset_batik/batik/batik solo/solo4.jpg,0.9367,0.8742347955703735,49,10,207,246,30.968788146972656
dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.8527,0.8212178945541382,63,4,193,252,32.13196563720703
dataset_batik/non_batik/modern/modern (1).png,uji_eksternal/non_batik/polos4.webp,0.6556,0.361130952835083,45,15,211,241,33.019378662109375
dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,0.9389,0.898389458656311,-27,2,229,254,35.276123046875
dataset_batik/batik/Yogyakarta_Kawung/0022.jpg,dataset_batik/batik/Yogyakarta_Kawung/0027.jpg,0.9509,0.9173499941825867,32,0,224,256,36.98653793334961
dataset_batik/batik/Yogyakarta_Kawung/003.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.8813,0.7617672085762024,64,44,192,212,38.590721130371094
dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.8121,0.7458505630493164,18,11,238,245,39.45638656616211
