align_score_min,residual_max,confirmed_pairs,n_groups,multi_image_groups,images_in_multi_groups,largest_group
0.8,10.0,5,256,5,10,2
0.8,15.0,8,254,6,13,3
0.8,20.0,8,254,6,13,3
0.8,25.0,9,253,7,15,3
0.8,30.0,10,252,8,17,3
0.8,40.0,15,247,11,25,4
0.85,10.0,5,256,5,10,2
0.85,15.0,8,254,6,13,3
0.85,20.0,8,254,6,13,3
0.85,25.0,9,253,7,15,3
0.85,30.0,10,252,8,17,3
0.85,40.0,14,248,12,25,3
0.9,10.0,5,256,5,10,2
0.9,15.0,8,254,6,13,3
0.9,20.0,8,254,6,13,3
0.9,25.0,9,253,7,15,3
0.9,30.0,9,253,7,15,3
0.9,40.0,10,252,8,17,3
0.93,10.0,5,256,5,10,2
0.93,15.0,8,254,6,13,3
0.93,20.0,8,254,6,13,3
0.93,25.0,8,254,6,13,3
0.93,30.0,8,254,6,13,3
0.93,40.0,8,254,6,13,3
0.95,10.0,5,256,5,10,2
0.95,15.0,8,254,6,13,3
0.95,20.0,8,254,6,13,3
0.95,25.0,8,254,6,13,3
0.95,30.0,8,254,6,13,3
0.95,40.0,8,254,6,13,3
0.97,10.0,5,256,5,10,2
0.97,15.0,5,256,5,10,2
0.97,20.0,5,256,5,10,2
0.97,25.0,5,256,5,10,2
0.97,30.0,5,256,5,10,2
0.97,40.0,5,256,5,10,2
0.99,10.0,3,258,3,6,2
0.99,15.0,3,258,3,6,2
0.99,20.0,3,258,3,6,2
0.99,25.0,3,258,3,6,2
0.99,30.0,3,258,3,6,2
0.99,40.0,3,258,3,6,2
