condition,color,pretraining,dimensionality,repeat,outer_fold,selected_model,inner_macro_f1,train_instances,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
rgb+pretrained+full512,rgb,pretrained,full512,1,1,SVM (RBF),0.943438227565586,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
rgb+pretrained+full512,rgb,pretrained,full512,1,2,Random Forest,0.9566640766640767,400,40,0.9,0.886039886039886,0.886039886039886,0.886039886039886,0.886039886039886,0.7720797720797721,0.8461538461538461,0.9259259259259259
rgb+pretrained+full512,rgb,pretrained,full512,1,3,SVM (RBF),0.941274702549914,400,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rgb+pretrained+full512,rgb,pretrained,full512,1,4,SVM (RBF),0.9366332821248412,400,40,0.975,0.9583333333333333,0.9827586206896552,0.9583333333333333,0.969488939740656,0.9407749312478345,0.9166666666666666,1.0
rgb+pretrained+full512,rgb,pretrained,full512,1,5,Logistic Regression,0.9274318054979511,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
rgb+pretrained+full512,rgb,pretrained,full512,2,1,SVM (RBF),0.9430776825625461,400,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
rgb+pretrained+full512,rgb,pretrained,full512,2,2,SVM (RBF),0.9492053568941441,400,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rgb+pretrained+full512,rgb,pretrained,full512,2,3,Random Forest,0.9708582001506529,400,41,0.9512195121951219,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.9436813186813187,0.8873626373626373,0.9230769230769231,0.9642857142857143
rgb+pretrained+full512,rgb,pretrained,full512,2,4,SVM (RBF),0.9639558432482962,400,40,0.9,0.8571428571428572,0.9,0.8571428571428572,0.8746081504702194,0.7559289460184545,0.75,0.9642857142857143
rgb+pretrained+full512,rgb,pretrained,full512,2,5,Random Forest,0.9333849483849483,400,40,0.925,0.9444444444444444,0.90625,0.9444444444444444,0.9188640973630832,0.8498365855987975,1.0,0.8888888888888888
