factor,contrast,holding,mean_difference,std_difference,n_paired_folds,folds_better,folds_worse,folds_tied,min_difference,max_difference
color,rgb minus gray,"pretraining=pretrained, dimensionality=full512",-0.004303946657724982,0.05578066982438149,25,12,9,4,-0.11636363636363645,0.08893001923255661
color,rgb minus gray,"pretraining=pretrained, dimensionality=pca6",-0.0003915468539137823,0.061001392085540805,25,12,11,2,-0.1387159732922445,0.11781609195402298
color,rgb minus gray,"pretraining=random, dimensionality=full512",-0.02067187074537183,0.05279624066215328,25,9,14,2,-0.11702986279257455,0.08832741332741334
color,rgb minus gray,"pretraining=random, dimensionality=pca6",-0.07233545603541892,0.05991727801980134,25,3,21,1,-0.18023759608665268,0.03944203944203939
pretraining,pretrained minus random,"color=rgb, dimensionality=full512",0.13095440579464268,0.049784740365183204,25,25,0,0,0.027748917748917745,0.2333965844402277
pretraining,pretrained minus random,"color=rgb, dimensionality=pca6",0.12616531806425482,0.07671001435870443,25,23,2,0,-0.0327672327672327,0.2650549450549451
pretraining,pretrained minus random,"color=gray, dimensionality=full512",0.11458648170699583,0.0796111834590393,25,22,1,2,-0.0020350020350019538,0.24563436563436558
pretraining,pretrained minus random,"color=gray, dimensionality=pca6",0.05422140888274967,0.07680264462303622,25,18,4,3,-0.059523809523809534,0.21431679881984145
dimensionality,full512 minus pca6,"color=rgb, pretraining=pretrained",0.02477072384214884,0.046623329152858536,25,13,4,8,-0.08847448847448858,0.130230385532923
dimensionality,full512 minus pca6,"color=rgb, pretraining=random",0.01998163611176097,0.07799632703090417,25,12,10,3,-0.13400296419164337,0.14142857142857135
dimensionality,full512 minus pca6,"color=gray, pretraining=pretrained",0.02868312364596004,0.045296767940927116,25,16,5,4,-0.05476653325709935,0.11781609195402298
dimensionality,full512 minus pca6,"color=gray, pretraining=random",-0.03168194917828612,0.07418081642765144,25,6,17,2,-0.18306636155606415,0.15613498063802322
