condition,repeat,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
gray+pretrained+full512,1,0.9601990049751243,0.9541514598540146,0.9541514598540146,0.9541514598540146,0.9541514598540146,0.9083029197080292,0.9375,0.9708029197080292
gray+pretrained+full512,2,0.9502487562189055,0.9468521897810219,0.9397306397306397,0.9468521897810219,0.943156108597285,0.8865542268297997,0.9375,0.9562043795620438
gray+pretrained+full512,3,0.9353233830845771,0.9275775547445255,0.9240950226244344,0.9275775547445255,0.9258028792912514,0.8516654572144626,0.90625,0.948905109489051
gray+pretrained+full512,4,0.9303482587064676,0.9197650547445255,0.9197650547445255,0.9197650547445255,0.9197650547445255,0.839530109489051,0.890625,0.948905109489051
gray+pretrained+full512,5,0.9601990049751243,0.9624771897810219,0.9483635559486953,0.9624771897810219,0.9548821548821549,0.9107313925749536,0.96875,0.9562043795620438
gray+pretrained+pca6,1,0.9353233830845771,0.9234146897810219,0.9270186335403727,0.9234146897810219,0.9251825340014317,0.8504256869385185,0.890625,0.9562043795620438
gray+pretrained+pca6,2,0.9104477611940298,0.9010036496350364,0.8946127946127946,0.9010036496350364,0.8976809954751132,0.7955907762974925,0.875,0.927007299270073
gray+pretrained+pca6,3,0.9303482587064676,0.9197650547445255,0.9197650547445255,0.9197650547445255,0.9197650547445255,0.839530109489051,0.890625,0.948905109489051
gray+pretrained+pca6,4,0.9054726368159204,0.8890282846715328,0.8923395445134575,0.8890282846715328,0.8906513958482463,0.7813608129689661,0.84375,0.9343065693430657
gray+pretrained+pca6,5,0.9303482587064676,0.9156021897810219,0.9228359248085403,0.9156021897810219,0.9190821256038647,0.8384069090090154,0.875,0.9562043795620438
gray+random+full512,1,0.8159203980099502,0.7900319343065694,0.7876696832579186,0.7900319343065694,0.7888235795212539,0.5776967878624643,0.71875,0.8613138686131386
gray+random+full512,2,0.8407960199004975,0.8207687043795621,0.8156565656565656,0.8207687043795621,0.8180995475113122,0.636404737865955,0.765625,0.8759124087591241
gray+random+full512,3,0.8706467661691543,0.8468293795620438,0.852866094221397,0.8468293795620438,0.8497239475500344,0.6996694320242633,0.78125,0.9124087591240876
gray+random+full512,4,0.8407960199004975,0.8249315693430657,0.8150154798761611,0.8249315693430657,0.8195286195286196,0.6398702188522917,0.78125,0.8686131386861314
gray+random+full512,5,0.8706467661691543,0.855155109489051,0.8494949494949495,0.855155109489051,0.8522058823529413,0.7046273257651854,0.8125,0.8978102189781022
gray+random+pca6,1,0.8756218905472637,0.8463161496350364,0.8624373358796849,0.8463161496350364,0.8535711163563249,0.7085701169138674,0.765625,0.927007299270073
gray+random+pca6,2,0.900497512437811,0.8853786496350364,0.8853786496350364,0.8853786496350364,0.8853786496350364,0.770757299270073,0.84375,0.927007299270073
gray+random+pca6,3,0.8656716417910447,0.847342609489051,0.8445135746606335,0.847342609489051,0.8458982877587529,0.6918504000924636,0.796875,0.8978102189781022
gray+random+pca6,4,0.8756218905472637,0.8546418795620438,0.8576604554865425,0.8546418795620438,0.8561202576950608,0.7122959389994137,0.796875,0.9124087591240876
gray+random+pca6,5,0.8656716417910447,0.8390168795620438,0.8480679156908666,0.8390168795620438,0.8432635379061372,0.6870251775682813,0.765625,0.9124087591240876
rgb+pretrained+full512,1,0.945273631840796,0.9348768248175183,0.9385783298826778,0.9348768248175183,0.9366929133858268,0.873447311595036,0.90625,0.9635036496350365
rgb+pretrained+full512,2,0.9502487562189055,0.9426893248175183,0.9426893248175183,0.9426893248175183,0.9426893248175183,0.8853786496350365,0.921875,0.9635036496350365
rgb+pretrained+full512,3,0.9402985074626866,0.9270643248175183,0.9344975632397308,0.9270643248175183,0.9306418219461698,0.8615298218398074,0.890625,0.9635036496350365
rgb+pretrained+full512,4,0.9353233830845771,0.9234146897810219,0.9270186335403727,0.9234146897810219,0.9251825340014317,0.8504256869385185,0.890625,0.9562043795620438
rgb+pretrained+full512,5,0.9552238805970149,0.9463389598540146,0.9501380262249828,0.9463389598540146,0.948203292770222,0.8964689362515534,0.921875,0.9708029197080292
rgb+pretrained+pca6,1,0.945273631840796,0.9432025547445255,0.9328358208955224,0.9432025547445255,0.937720064223543,0.8759770353287566,0.9375,0.948905109489051
rgb+pretrained+pca6,2,0.9203980099502488,0.9124657846715328,0.905892255892256,0.9124657846715328,0.9090497737556561,0.8183316389305694,0.890625,0.9343065693430657
rgb+pretrained+pca6,3,0.9353233830845771,0.9192518248175183,0.9304449648711943,0.9192518248175183,0.9245342960288809,0.8496230623182514,0.875,0.9635036496350365
rgb+pretrained+pca6,4,0.8855721393034826,0.8661040145985401,0.8692201518288474,0.8661040145985401,0.867630637079456,0.7353175636559312,0.8125,0.9197080291970803
rgb+pretrained+pca6,5,0.9253731343283582,0.9244411496350364,0.9085968379446641,0.9244411496350364,0.9157279816641977,0.8328872952194046,0.921875,0.927007299270073
rgb+random+full512,1,0.7860696517412935,0.759808394160584,0.7537313432835822,0.759808394160584,0.7565420692374862,0.5135037793306504,0.6875,0.8321167883211679
rgb+random+full512,2,0.8407960199004975,0.8124429744525548,0.8178811789278255,0.8124429744525548,0.8150448585231194,0.6303006935318873,0.734375,0.8905109489051095
rgb+random+full512,3,0.8407960199004975,0.8124429744525548,0.8178811789278255,0.8124429744525548,0.8150448585231194,0.6303006935318873,0.734375,0.8905109489051095
rgb+random+full512,4,0.8407960199004975,0.8124429744525548,0.8178811789278255,0.8124429744525548,0.8150448585231194,0.6303006935318873,0.734375,0.8905109489051095
rgb+random+full512,5,0.8557213930348259,0.8233918795620438,0.8384459298161853,0.8233918795620438,0.8301424949733369,0.6616665787944248,0.734375,0.9124087591240876
rgb+random+pca6,1,0.7860696517412935,0.7639712591240876,0.7541172595520422,0.7639712591240876,0.7584202141040333,0.5179947990824432,0.703125,0.8248175182481752
rgb+random+pca6,2,0.8009950248756219,0.7874087591240876,0.7713178294573644,0.7874087591240876,0.7777532065457762,0.5584948368340817,0.75,0.8248175182481752
rgb+random+pca6,3,0.8258706467661692,0.809819799270073,0.7982542819499341,0.809819799270073,0.8033652905497946,0.6079640836930036,0.765625,0.8540145985401459
rgb+random+pca6,4,0.8059701492537313,0.791058394160584,0.776489707475623,0.791058394160584,0.782521847690387,0.5673610852350888,0.75,0.8321167883211679
rgb+random+pca6,5,0.8308457711442786,0.8051437043795621,0.8051437043795621,0.8051437043795621,0.8051437043795621,0.6102874087591241,0.734375,0.8759124087591241
